College_Name,URL_CtP
A T Still University of Health Sciences,https://ChangingThePresent.org/collections/A-T-Still-University-Of-Health-Sciences
Aaniiih Nakoda College,https://ChangingThePresent.org/collections/Aaniiih-Nakoda-College
Abilene Christian University,https://ChangingThePresent.org/collections/Abilene-Christian-University
Abington Memorial Hospital Dixon School of Nursing,https://ChangingThePresent.org/collections/Abington-Memorial-Hospital-Dixon-School-Of-Nursing
Abraham Baldwin Agricultural College,https://ChangingThePresent.org/collections/Abraham-Baldwin-Agricultural-College
Academy for Careers and Technology,https://ChangingThePresent.org/collections/Academy-For-Careers-And-Technology
Academy for Five Element Acupuncture,https://ChangingThePresent.org/collections/Academy-For-Five-Element-Acupuncture
Academy for Jewish Religion-California,https://ChangingThePresent.org/collections/Academy-For-Jewish-Religion-California
Academy for Nursing and Health Occupations,https://ChangingThePresent.org/collections/Academy-For-Nursing-And-Health-Occupations
Academy of Careers and Technology,https://ChangingThePresent.org/collections/Academy-Of-Careers-And-Technology
Academy of Chinese Culture and Health Sciences,https://ChangingThePresent.org/collections/Academy-Of-Chinese-Culture-And-Health-Sciences
Academy of Interactive Entertainment,https://ChangingThePresent.org/collections/Academy-Of-Interactive-Entertainment
Academy of Vocal Arts,https://ChangingThePresent.org/collections/Academy-Of-Vocal-Arts
Acadiana Technical College-Lafayette Campus,https://ChangingThePresent.org/collections/Acadiana-Technical-College-Lafayette-Campus
Acupuncture and Integrative Medicine College-Berkeley,https://ChangingThePresent.org/collections/Acupuncture-And-Integrative-Medicine-College-Berkeley
Adams State University,https://ChangingThePresent.org/collections/Adams-State-University
Adelphi University,https://ChangingThePresent.org/collections/Adelphi-University
Adirondack Community College,https://ChangingThePresent.org/collections/Adirondack-Community-College
Adler Graduate School,https://ChangingThePresent.org/collections/Adler-Graduate-School
Adler University,https://ChangingThePresent.org/collections/Adler-University
Adrian College,https://ChangingThePresent.org/collections/Adrian-College
Adult and Community Education-Hudson,https://ChangingThePresent.org/collections/Adult-And-Community-Education-Hudson
Adult and Continuing Education-BCTS,https://ChangingThePresent.org/collections/Adult-And-Continuing-Education-Bcts
Advanced Technical Centers,https://ChangingThePresent.org/collections/Advanced-Technical-Centers
Adventist University of Health Sciences,https://ChangingThePresent.org/collections/Adventist-University-Of-Health-Sciences
Agnes Scott College,https://ChangingThePresent.org/collections/Agnes-Scott-College
AIB College of Business,https://ChangingThePresent.org/collections/Aib-College-Of-Business
