"id","URL_CtP","School_Name","City","State","Zip"
1,"https://rit.edu","RIT","Rochester","New York",14623
2,"https://rit.edu/rit_gccis","RIT_GCCIS","Rochester","New York",14988
3,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Rochester","New York",14958
4,"https://rit.edu/rit_saunders","RIT_Saunders","Rochester","New York",20740
5,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Rochester","New York",15956
6,"https://rit.edu/rit_gccis","RIT_GCCIS","Downtown","New York",16278
7,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Downtown","New York",25244
8,"https://rit.edu/rit_saunders","RIT_Saunders","Downtown","New York",16652
9,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Downtown","New York",19941
10,"https://rit.edu/rit_gccis","RIT_GCCIS","Suburban","New York",19800
11,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Suburban","New York",18370
12,"https://rit.edu/rit_saunders","RIT_Saunders","Suburban","New York",24707
13,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Suburban","New York",18959
14,"https://rit.edu/rit_gccis","RIT_GCCIS","Monroe","New York",18210
15,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Monroe","New York",17225
16,"https://rit.edu/rit_saunders","RIT_Saunders","Monroe","New York",24717
17,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Monroe","New York",22150
18,"https://rit.edu/rit_gccis","RIT_GCCIS","Henrietta","New York",25120
19,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Henrietta","New York",19547
20,"https://rit.edu/rit_saunders","RIT_Saunders","Henrietta","New York",24210
21,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Henrietta","New York",22647
22,"https://rit.edu/rit_gccis","RIT_GCCIS","Brighton","New York",17846
23,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Brighton","New York",24680
24,"https://rit.edu/rit_saunders","RIT_Saunders","Brighton","New York",14466
25,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Brighton","New York",24420
26,"https://rit.edu/rit_gccis","RIT_GCCIS","Rochester","Michigan",20673
27,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Rochester","Michigan",24682
28,"https://rit.edu/rit_saunders","RIT_Saunders","Rochester","Michigan",18333
29,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Rochester","Michigan",15916
30,"https://rit.edu/rit_gccis","RIT_GCCIS","Downtown","Michigan",25518
31,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Downtown","Michigan",14967
32,"https://rit.edu/rit_saunders","RIT_Saunders","Downtown","Michigan",23864
33,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Downtown","Michigan",15476
34,"https://rit.edu/rit_gccis","RIT_GCCIS","Suburban","Michigan",17203
35,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Suburban","Michigan",24858
36,"https://rit.edu/rit_saunders","RIT_Saunders","Suburban","Michigan",25206
37,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Suburban","Michigan",16709
38,"https://rit.edu/rit_gccis","RIT_GCCIS","Monroe","Michigan",23738
39,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Monroe","Michigan",15983
40,"https://rit.edu/rit_saunders","RIT_Saunders","Monroe","Michigan",14714
41,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Monroe","Michigan",23774
42,"https://rit.edu/rit_gccis","RIT_GCCIS","Henrietta","Michigan",25322
43,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Henrietta","Michigan",19844
44,"https://rit.edu/rit_saunders","RIT_Saunders","Henrietta","Michigan",23729
45,"https://rit.edu/rit_liberal arts","RIT_Liberal Arts","Henrietta","Michigan",14234
46,"https://rit.edu/rit_gccis","RIT_GCCIS","Brighton","Michigan",19613
47,"https://rit.edu/rit_kate_gleason","RIT_Kate_Gleason","Brighton","Michigan",25375
48,"https://rit.edu/rit_saunders","RIT_Saunders","Brighton","Michigan",24158
